corp_code,corp_name,stock_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00807379,신흥에스이씨,243840,20210319001232,20220321001332,20230320000931,20240320001951,20250317000923
01264234,엘에이티,311060,20210317000406,20220321001138,20230323001188,20240320001509,20250318000650
00105952,LS,006260,20210831001912,20220321001306,20230321001443,20240320001435,20250319001145
00366517,KC산업,112190,20210323000516,20220323001108,20230323001487,20240321001777,20250321001749
00378628,KH바텍,060720,20210323000882,20220323001133,20230323001045,20240321001482,20250320000605
00897752,천보,278280,20210316000103,20220316000896,20230315001377,20240313001543,20250312001097
00206039,경남스틸,039240,20210226004842,20220307000359,20230306000279,20240311000465,20250310000522
00160621,한국화장품제조,003350,20210318000787,20220317001314,20230316001365,20240320001586,20250320001367
00340096,미래에셋벤처투자,100790,20210316001108,20220315001280,20230315001270,20240318000693,20250318001085
00363246,우원개발,046940,20210322000898,20220322000652,20230322000576,20240320000651,20250320000415
00539274,대상홀딩스,084690,20210318001379,20220317001203,20230316001307,20240314001343,20250319001086
00145473,이글벳,044960,20210317000808,20220321000270,20230321000261,20240321000587,20250311000495
00357607,케이피티유,054410,20210322000583,20220323000470,20230321001223,20240321002040,20250320000548
