CIK,DBO_2022,PA_2022,DBO_2023,PA_2023,DBO_2024,PA_2024,tier,outlier_flag,growth_2022,growth_2023,growth_2024
00117188,191347000000.0,223570000000.0,209011000000.0,223264000000.0,202514000000.0,201218000000.0,3_중소형,,1.0,1.0923139636367438,1.0583599429309056
00117212,1746782000000.0,1289534000000.0,1896520000000.0,1398446000000.0,2088702000000.0,1467951000000.0,1_대형,,1.0,1.0857222023125954,1.195742800189148
00117230,,,72057964000.0,47034418000.0,66868506000.0,59560709000.0,,,,,
00117337,,,44851000000.0,45031000000.0,50996000000.0,47977000000.0,,,,,
00117708,,,15263578000.0,8265071000.0,17956468000.0,9245814000.0,,,,,
00118804,,,86062694000.0,61015516000.0,94053512000.0,81958205000.0,,,,,
00119007,,,56853037000.0,9181261000.0,63304246000.0,9126983000.0,,,,,
00119140,,,61259711000.0,36145839000.0,68234539000.0,38951896000.0,,,,,
00120030,446025000000.0,538628000000.0,500582000000.0,575697000000.0,539491000000.0,570299000000.0,2_중형,,1.0,1.1223182557031557,1.20955327616165
00120526,781336593000.0,1036331267000.0,890003574000.0,1064563799000.0,993031548000.0,1063691404000.0,2_중형,,1.0,1.139078320372485,1.2709395117246223
00120562,753282000000.0,969281000000.0,960642000000.0,1095571000000.0,1077122000000.0,1150280000000.0,2_중형,,1.0,1.27527539487204,1.4299054006334946
00120571,238023000000.0,310407000000.0,306818000000.0,363162000000.0,344909000000.0,362319000000.0,2_중형,,1.0,1.2890266906979577,1.4490574440285182
00122579,,,19088820630.0,18816784968.0,20936314969.0,20682081969.0,,,,,
00122737,14722000000.0,-18097000000.0,18115000000.0,19897000000.0,23165000000.0,24818000000.0,4_소형,,1.0,1.2304714033419373,1.5734954489879092
00123143,,,60478220000.0,56128699000.0,65426901000.0,57436084000.0,,,,,
00124504,173224000000.0,210537000000.0,248763000000.0,303342000000.0,268720000000.0,333634000000.0,3_중소형,,1.0,1.4360769870225836,1.5512861959081883
00124540,432860000000.0,-269326000000.0,518105000000.0,-280256000000.0,549865000000.0,-288550000000.0,2_중형,,1.0,1.1969343436676985,1.2703067966548076
00124726,,,84534000000.0,77401000000.0,88665000000.0,80585000000.0,,,,,
00124799,,,12472892000.0,17119827000.0,11905138000.0,18105669000.0,,,,,
00125080,,,272535296000.0,215132570000.0,310533855000.0,245912836000.0,,,,,
00125530,,,109445801000.0,-136420113000.0,127919348000.0,-151751438000.0,,,,,
00126186,-1486382906000.0,1979115824000.0,1648384606000.0,2083216390000.0,1807377387000.0,2049634405000.0,,NEGATIVE_DBO,1.0,-1.1089905564347227,-1.2159567899390253
00126371,842112242000.0,937093356000.0,905438929000.0,-1010285587000.0,908679631000.0,-1072012729000.0,2_중형,,1.0,1.0751998176034117,1.0790481193360921
00126380,14010308000000.0,19593910000000.0,15723665000000.0,20172327000000.0,17344784000000.0,19912945000000.0,1_대형,EXTREME_SIZE;EXTREME_SIZE,1.0,1.122292600562386,1.238001619950111
00126478,459728814000.0,548097112000.0,529653475000.0,608035977000.0,594319562000.0,640739883000.0,2_중형,,1.0,1.1520998007316547,1.292761175504653
00126487,,,20374845000.0,20303996000.0,26269810000.0,26666087000.0,,,,,
00126566,738116919000.0,185946819000.0,918876457000.0,313882106000.0,1790274107000.0,1097947711000.0,2_중형,,1.0,1.2448928257123448,2.425461415280199
00126937,141807000000.0,162808000000.0,154793000000.0,167473000000.0,160722000000.0,168598000000.0,3_중소형,,1.0,1.0915751690678175,1.1333855169349891
00126955,,,47647577000.0,53918382000.0,62333725000.0,69024751000.0,,,,,
00127954,,,124809105000.0,93772617000.0,137997590000.0,94553965000.0,,,,,
00128555,102803614000.0,125714728000.0,105227150000.0,-126242066000.0,112977813000.0,125673080000.0,3_중소형,,1.0,1.023574424144272,1.0989673281330363
00129679,,,161361000000.0,185398000000.0,189125000000.0,172644000000.0,,,,,
00129989,,,34710541242.0,24606619185.0,38850131960.0,30508889257.0,,,,,
00130383,,,6146307000.0,6632700000.0,7610469000.0,8430460000.0,,,,,
00130684,,,67834364000.0,74049450000.0,76454116000.0,76880958000.0,,,,,
00130772,,,196211022000.0,237556473000.0,205865230000.0,244979493000.0,,,,,
00131692,,,48156276000.0,50744133000.0,51618708000.0,53323791000.0,,,,,
00131780,-185769000000.0,-246385000000.0,228051000000.0,245740000000.0,214583000000.0,222025000000.0,,NEGATIVE_DBO,1.0,-1.2276052516835425,-1.1551066108984815
00132318,,,29210107000.0,30633523000.0,33642590000.0,33067001000.0,,,,,
00132354,,,34149403000.0,39541402000.0,36657762000.0,39607943000.0,,,,,
00132804,,,102219578000.0,35509971000.0,105181443000.0,37822433000.0,,,,,
00132992,,,120504094000.0,127440344000.0,138390428000.0,142555757000.0,,,,,
00133706,,,52904908000.0,44374247000.0,50553451000.0,44330115000.0,,,,,
00133812,,,44301924000.0,51452476000.0,52164653000.0,56047410000.0,,,,,
00134477,,,2616494000.0,5832000.0,1696855000.0,3756000.0,,,,,
00134510,,,69990818000.0,23080297000.0,79070520000.0,25464466000.0,,,,,
00134963,,,76249000000.0,-98311000000.0,83691000000.0,-94188000000.0,,,,,
00135962,,,12041058000.0,14342803000.0,14379879000.0,16368259000.0,,,,,
00136086,,,99938315000.0,16684968000.0,114241837000.0,16711739000.0,,,,,
00136378,350525000000.0,427640000000.0,410784000000.0,462678000000.0,476324000000.0,510992000000.0,2_중형,,1.0,1.1719107053705156,1.3588873832108979
00136864,,,34229258000.0,8731289000.0,35687217000.0,9881566000.0,,,,,
00137234,,,62642732565.0,21238764617.0,63004511323.0,15508402088.0,,,,,
00138242,,,345461785000.0,1472785000.0,398569491000.0,1323513000.0,,,,,
00138279,464076000000.0,636303000000.0,518822000000.0,643078000000.0,508732000000.0,634920000000.0,2_중형,,1.0,1.1179677466621847,1.0962256182177057
00138729,,,5.9097950108e+16,5.1113726206e+16,6.4453888219e+16,5.43701605e+16,,EXTREME_SIZE;EXTREME_SIZE,,,
00138792,,288276579000.0,692693768000.0,306900121000.0,862614752000.0,327587872000.0,,,,,
00139719,,,42806514000.0,35003677000.0,51480848000.0,40184842000.0,,,,,
00139889,132923179000.0,175734769000.0,117407099000.0,155471547000.0,106243279000.0,123560001000.0,3_중소형,,1.0,0.8832703211228494,0.799283313860557
00140052,,,20481339000.0,20387687000.0,19590408000.0,22584252000.0,,,,,
00140177,325276000000.0,403869000000.0,362468000000.0,427744000000.0,319768000000.0,374314000000.0,2_중형,,1.0,1.114339822181778,0.9830666879818984
