corp_code,corp_name,stock_code,is_listed,n_years,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00112378,KR모터스,000040,True,5,20210322000894,20220518000138,20230322001182,20240321002062,20250319000576
00112457,대주산업,003310,True,5,20210317000846,20220321000775,20230320000913,20240320001261,20250318000629
00112651,대창,012800,True,5,20210316000786,20220322000499,20230321001144,20240319000397,20250318001233
00112679,대창단조,015230,True,4,20210318000405,,20230323000406,20240321000893,20250320000634
00112721,대창스틸,140520,True,5,20210323000633,20220323000648,20230322001133,20240321001151,20250321000820
00112819,데코앤에프,017680,True,5,20210331002716,20220331002264,20230323000825,20240321001422,20250320001364
00112873,미래엔,,False,5,20210331001550,20220331002406,20230331002870,20240401004176,20250331002876
00112882,교보생명보험,,False,4,,20220331003267,20230331004194,20240430000629,20250515002959
00112970,대한방직,001070,True,4,20210329000181,20220328001072,20230316001199,20240314001520,
00112998,서울보증보험,031210,True,1,,,,,20250324000440
00113058,한화생명,088350,True,5,20210305000803,20220316001424,20230315001327,20240430000873,20250331003702
00113128,대한약품,023910,True,5,20210316000540,20220321000548,20230317000898,20240320000471,20250318000608
00113191,코리안리,003690,True,4,20210331000155,,20230323001465,20240430001103,20250331003380
00113207,대한전선,001440,True,5,20210318001288,20220322001052,20230322001136,20240321001692,20250325001056
00113225,대한제강,084010,True,5,20210318000302,20220317000844,20230331003410,20240314001065,20250320000395
00113234,대한제당,001790,True,5,20210419000297,20220317000728,20230316001046,20240314001234,20250313001084
00113243,대한제분,001130,True,5,20210318001080,20220317001052,20230316001412,20240510001061,20250313001408
00113261,대한광통신,010170,True,5,20210316000886,20220317000955,20230316001376,20240321001763,20250320001578
00113359,교보증권,030610,True,5,20210326001145,20220315000921,20230314000692,20240314001518,20250313000901
00113410,CJ대한통운,000120,True,5,20210319001047,20220318000927,20230317000857,20240320001789,20250317001020
00113465,하나증권,,False,4,,20220317000821,20230316000693,20240314001208,20250515000733
00113492,깨끗한나라,004540,True,5,20210317001261,20220325001053,20230316000673,20240401001062,20250320000849
00113508,노루홀딩스,000320,True,4,20210318001087,20220317000717,20230316001033,20240321001014,
00113526,대한항공,003490,True,5,20210318001404,20220315001120,20230314000740,20240313001650,20250318001334
00113535,대한해운,005880,True,5,20210322000956,20220322000863,20230322001051,20240321001983,20250320001093
00113544,대한화섬,003830,True,4,20210318001220,20220323001348,20230323001351,20240321001909,
00113562,롯데손해보험,000400,True,5,20210323001100,20220323000792,20230323001495,20240430001079,20250424000557
00113614,대현,016090,True,5,20210419000142,20220317000488,20230316001384,20240329000905,20250321001236
00113997,롯데에너지머티리얼즈,020150,True,5,20210323001108,20220318001055,20230323001050,20240315000794,20250314001597
00114093,덕성,004830,True,5,20210319000522,20220318000680,20230317000725,20240318000444,20250317000503
00114154,디와이덕양,024900,True,5,20210609000312,20220404002273,20230320000948,20240318000799,20250317000666
00114552,도화엔지니어링,002150,True,4,20210310000190,20220310000616,20230316001141,20240314001211,
00114686,동구바이오제약,006620,True,5,20210317000527,20220323000175,20230320000852,20240320001506,20250318001200
